id,timestamp,ocr_text
23,1774966080130,T61,0.560
23,1774966082716,J11A,0.496
30,1774966085954,0011NR15,0.932
32,1774966086553,0011NR15,0.960
33,1774966087289,9580115,0.718
34,1774966087892,958AC1N5,0.649
41,1774966089541,958AC115,0.835
42,1774966090088,958AC115,0.926
49,1774966096452,718EXF,0.839
70,1774966104283,3A15,0.449
74,1774966106559,509A15,0.504
75,1774966106559,049115,0.947
85,1774966109763,089AR15,0.959
86,1774966110332,089AR15,0.937
87,1774966120442,075DR5,0.850
88,1774966121235,075,0.961
97,1774966123661,075AV5075AW15,0.947
98,1774966125059,075AVC0T5A5,0.852
100,1774966127151,075AV1,0.894
14,1774966775011,T454TNM,0.963
15,1774966775630,T454TNMP0E,0.740
17,1774966778311,0010,0.637
18,1774966780772,0011075,0.727
23,1774966782384,T61,0.560
23,1774966785134,J11A,0.496
30,1774966788438,0011NR15,0.932
32,1774966788921,0011NR15,0.960
33,1774966789639,9580115,0.718
34,1774966790315,958AC1N5,0.649
41,1774966791910,958AC115,0.835
42,1774966792466,958AC115,0.926
49,1774966799101,718EXF,0.839
70,1774966807079,3A15,0.449
74,1774966809069,509A15,0.504
75,1774966809070,049115,0.947
85,1774966812500,089AR15,0.959
86,1774966813092,089AR15,0.937
14,1774967262380,T454TNM,0.963
15,1774967263008,T454TNMP0E,0.740
17,1774967265662,0010,0.637
17,1774967267687,00,0.917
18,1774967268417,0011075,0.727
23,1774967270042,T61,0.560
23,1774967272743,J11A,0.496
30,1774967275870,0011NR15,0.932
32,1774967276396,0011NR15,0.960
33,1774967276961,9580115,0.718
34,1774967277555,958AC1N5,0.649
41,1774967279171,958AC115,0.835
42,1774967279797,958AC115,0.926
49,1774967286751,718EXF,0.839
70,1774967293800,3A15,0.449
74,1774967295809,509A15,0.504
75,1774967295810,049115,0.947
85,1774967298502,089AR15,0.959
86,1774967298972,089AR15,0.937
87,1774967307334,075DR5,0.850
88,1774967307945,075,0.961
97,1774967309976,075AV5075AW15,0.947
98,1774967311257,075AVC0T5A5,0.852
100,1774967312886,075AV1,0.894
113,1774967341913,6541AEX15,0.931
114,1774967342442,541AEX15,0.908
130,1774967345369,198AFW15,0.924
131,1774967345915,198AFW15,0.960
137,1774967346977,024ACN15,0.910
138,1774967347484,024ACN15,0.810
139,1774967348059,024ACN15,0.890
144,1774967351473,11,0.433
160,1774967353917,202AF015,0.929
161,1774967354499,202AF015,0.984
